id,species,species2
sel_eur,Selaginella eurynota,
sel_rio,Selaginella,
sel_swi,Selaginella swim,
sel_ate,Selaginella ,
sel_umb,Selaginella umbrosa,
sel_oax,Selaginella oaxacana,
sel_anc,Selaginella anceps,
sel_art,Selaginella arthritica,
sel_bom,Selaginella ,
sel_stri,,
sel_sura,,
lom_hop,Lomariopsis japurensis,
dip_str,Diplazium striatastrum,
pip_uno,,
cyc_sem,Cyclopeltis sermicordata,
pip_pap,,
the_cur,Thelypteris cutra,
bul_por,Bolbitis portoricensis,
