species,sample,PARi,Photo,Cond,Trmmol,ite
cyc_sem,2,250,3.146644259,0.05394068,0.459151465,6.853172643
cyc_sem,2,150,2.935590137,0.053133731,0.431279165,6.806705205
cyc_sem,2,100,2.676605165,0.05305851,0.421252031,6.353928214
cyc_sem,2,50,1.914219643,0.04822466,0.376600027,5.082898316
cyc_sem,2,35,1.446501781,0.046273141,0.357830422,4.042422589
cyc_sem,2,25,1.047796119,0.043406124,0.337901467,3.100892483
cyc_sem,2,10,0.328183068,0.044772918,0.347038237,0.945668324
cyc_sem,2,5,0.148793413,0.044437607,0.342888712,0.433940832
cyc_sem,2,0,-0.289819494,0.049970927,0.402981871,-0.719187425
cyc_sem,3,100,2.679598771,0.058542738,0.697559367,3.841391712
cyc_sem,3,750,2.655007275,0.056740628,0.626951005,4.234792279
cyc_sem,3,500,2.730560454,0.052859454,0.535201107,5.101933494
cyc_sem,3,300,2.66610427,0.049607391,0.459819116,5.798158835
cyc_sem,3,250,2.680898278,0.049129384,0.434420954,6.171199279
cyc_sem,3,150,2.549007537,0.048522096,0.403695355,6.314185946
cyc_sem,3,100,2.44003464,0.049670738,0.401568755,6.076256207
cyc_sem,3,50,1.926171934,0.048484585,0.376764235,5.112406527
cyc_sem,3,35,1.513442407,0.050602803,0.391498394,3.865769133
cyc_sem,3,25,1.24908317,0.046126837,0.351470781,3.553874853
cyc_sem,3,10,0.415778687,0.046467769,0.344860291,1.205643844
cyc_sem,3,5,0.144292169,0.045188282,0.328246513,0.439584773
cyc_sem,3,0,-0.326039235,0.049636681,0.367811497,-0.886430244
