species,individual,asat,gs,chlorophyll,N,C:N,P,LMA,sto_dens,sto_length,lcp,ITE
Sel_eur,1,7.556166229,0.166648405,11.29474,3.44,12.27358491,0.37857013,7.744608042,44.13043478,25.8982,12.9417437,4.915403215
Sel_eur,2,5.215798469,0.095986917,7.38534,3.29,12.42156863,0.460333887,7.85248953,36.52173913,25.0308,12.16156718,4.39334223
Sel_eur,3,6.257972122,0.127249679,8.335826667,3.66,11.26785714,0.30048439,7.533378086,53.04347826,23.6446,10.57828691,4.646933279
Sel_eur,4,5.367576705,0.115720893,8.340346667,4.49,9.185714286,0.291374382,6.819054937,53.78378378,25.3264,6.779051997,4.764755188
Sel_eur,5,4.76238968,0.100831513,6.945786667,2.83,13.84444444,0.44257151,5.506692161,40.8519389,23.7488,8.402765317,4.548525261
Sel_anc,1,2.930976218,0.066738831,10.21903333,2.2,19,0.195456138,15.40904799,75.86956522,19.5856,0.278915241,3.480363505
Sel_anc,2,3.072432618,0.074619121,11.13256,2.25,18.17142857,0.162748197,11.29407708,68.69565217,17.2816,0.286602158,3.8419021
Sel_anc,3,3.184913211,0.071118463,15.34418,1.9,21.01724138,0.061200026,12.7806563,59.13043478,18.2086,3.153575754,5.032189209
Sel_anc,4,3.360933491,0.083447405,8.3979,2.65,15.19767442,0.187506586,13.58944205,65.2173913,19.6346,3.943556808,4.099957235
Sel_anc,5,2.767934967,0.067999935,14.43127333,2.77,14.2247191,0.171546038,10.74402364,57.82608696,,0.743660822,3.988511453
Sel_ate,1,1.715080043,0.066951283,11.45455333,2.51,16.32467532,0.266292352,3.54767184,26.52173913,25.6752,8.348879604,2.972003518
Sel_ate,2,2.09630726,0.087514087,13.40392667,2.85,13.57142857,0.197610723,4.416635996,28.69565217,26.0982,8.399918668,2.601173293
Sel_ate,3,2.392409149,0.069294736,11.60831333,3.23,10.71428571,0.244492552,3.101820634,25.86956522,26.5802,5.337121202,3.397107681
Sel_ate,4,0.954378961,0.052942026,11.50489333,2.55,16.10714286,,5.39408222,19.34782609,26.6228,11.89779626,1.787719709
Sel_ate,5,1.554945333,0.033667578,,,,,5.391006533,29.7826087,25.2666,6.829539937,4.11904695
Sel_umb,1,2.503279855,0.058013904,5.663073333,1.24,33.58974359,0.220010895,13.05274374,74.34782609,17.1358,2.15936543,4.929083415
Sel_umb,2,3.556340716,0.103830132,7.565746667,1.4,29.32608696,0.20559666,12.35370611,99.13043478,17.5184,2.908675433,4.526477242
Sel_umb,3,4.231690589,0.112548379,8.77546,1.74,23.57407407,0.187978059,13.93236125,85.65217391,16.8366,4.002565011,4.13285134
Sel_umb,4,3.697673002,0.105609702,10.31342,1.69,25.11538462,0.178854591,10.17879271,73.04347826,16.741,4.201035547,4.072128561
Sel_umb,5,3.650302243,0.122317778,10.5068,2.09,19.14492754,0.1523253,10.60419236,80.86956522,16.7542,3.546584875,3.330530768
Sel_oax,1,2.760467337,0.080758638,11.60828667,2.51,15.75641026,0.20172177,7.993684003,71.73913043,25.6666,0.019447461,5.13250706
Sel_oax,2,1.982093016,0.051153806,18.71434667,2.21,17.48529412,0.097355157,8.660461352,54.34782609,27.7262,,3.972168841
Sel_oax,3,2.592996141,0.066268983,14.10664,2.04,18.14516129,0.199445328,11.63306551,65.2173913,25.0606,1.177939016,4.831818503
Sel_oax,4,2.263934618,0.068981555,10.37951333,2.75,13.56666667,0.240001533,8.465218992,52.17391304,24.2648,,4.297889875
Sel_oax,5,2.418301324,0.048696543,14.83727333,2.8,13.94186047,0.194430518,7.809662187,56.73913043,,0.795063106,5.655380991
Sel_swim,1,2.437603843,0.057461652,11.16828,1.71,21.66037736,0.109029979,9.846077148,90.81081081,23.5976,5.711500988,4.147029254
Sel_swim,2,1.016254651,0.027193418,8.915386667,1.07,34.3030303,0.114446681,8.968609865,121.0810811,23.2052,5.094830528,3.253225015
Sel_swim,3,2.037646532,0.044804392,10.21766667,1.2,32.75675676,0.084453705,10.91836169,121.6216216,25.024,6.022284426,4.371348086
Sel_swim,4,2.147097044,0.050166365,9.821793333,1.55,24.16326531,0.140598649,8.794508795,121.0810811,23.3608,4.846390945,4.457858113
Sel_swim,5,2.665411414,0.073512822,9.542933333,1.84,20.82758621,0.115063767,10.85415076,134.3243243,22.446,7.733635733,3.622152393
Sel_art,1,3.15803602,0.063347249,12.88048,2.75,13.77777778,0.241618041,12.02633701,34.32432432,25.8664,3.094298137,5.886472768
Sel_art,2,4.254765088,0.093934899,8.31528,2.79,14.35227273,0.118770114,11.20119979,35.67567568,27.0754,3.037378817,5.441994369
Sel_art,3,2.940141698,0.092842518,11.38445333,2.39,14.72151899,0.218464353,13.77281853,32.16216216,25.9356,2.168381084,3.547716477
Sel_art,4,3.094611407,0.083563865,12.63055,2.41,15.75641026,0.141494027,11.95367949,24.05405405,25.328,2.849551862,3.782546948
Sel_art,5,3.455784543,0.077870469,9.7352,2.39,16.30136986,0.118449485,13.34913605,37.2972973,,0.759275153,4.507904434
