species,individual,sample,mass_g,a664nm,a647nm,a480nm,a433nm,a800nm,a200nm
Sel_ate,3,1,0.0036,0.498,0.292,0.467,0.958,0.101,3.513
Sel_ate,3,2,0.0034,0.673,0.444,0.667,1.232,0.222,3.726
Sel_ate,3,3,0.0032,0.567,0.425,0.631,1.042,0.264,3.721
Sel_ate,4,1,0.0039,0.509,0.309,0.539,1.069,0.109,3.629
Sel_ate,4,2,0.0031,0.727,0.458,0.762,1.463,0.188,3.813
Sel_ate,4,3,0.0031,0.55,0.355,0.63,1.175,0.141,3.693
Sel_ate,5,1,0.0039,0.447,0.289,0.41,0.796,0.122,3.483
Sel_ate,5,2,0.0036,0.641,0.393,0.592,1.192,0.153,3.67
Sel_ate,5,3,0.0036,0.734,0.471,0.736,1.376,0.219,3.747
Sel_umb,1,1,0.0033,0.261,0.137,0.278,0.58,0.022,0.593
Sel_umb,1,2,0.0032,0.301,0.154,0.332,0.695,0.023,0.652
Sel_umb,1,3,0.0037,0.382,0.232,0.424,0.814,0.085,0.754
Sel_umb,2,1,0.0038,0.375,0.197,0.431,0.867,0.039,0.734
Sel_umb,2,2,0.0035,0.508,0.342,0.593,1.034,0.169,0.889
Sel_umb,2,3,0.003,0.3,0.195,0.426,0.766,0.068,0.742
Sel_umb,3,1,0.0034,0.544,0.334,0.53,0.988,0.154,0.782
Sel_umb,3,2,0.0036,0.473,0.233,0.452,0.977,0.039,0.73
Sel_umb,3,3,0.0034,0.449,0.242,0.455,0.931,0.061,0.735
Sel_umb,4,1,0.003,0.533,0.263,0.532,1.141,0.04,0.78
Sel_umb,4,2,0.003,0.57,0.35,0.622,1.165,0.141,0.877
Sel_umb,4,3,0.0036,0.584,0.354,0.639,1.211,0.133,0.892
Sel_umb,5,1,0.0032,0.581,0.309,0.519,1.087,0.086,0.752
Sel_umb,5,2,0.0032,0.615,0.4,631,1.114,0.201,0.875
Sel_umb,5,3,0.0033,0.534,0.271,0.513,1.096,0.051,0.744
Sel_swim,1,1,0.0031,0.583,0.311,0.55,1.192,0.062,0.773
Sel_swim,1,2,0.0038,0.731,0.372,0.671,1.487,0.054,0.837
Sel_swim,1,3,0.0036,0.604,0.323,0.613,1.288,0.058,0.833
Sel_swim,2,1,0.0035,0.477,0.258,0.421,0.919,0.055,0.684
Sel_swim,2,2,0.0036,0.394,0.23,0.405,0.81,0.069,0.712
Sel_swim,2,3,0.0035,0.596,0.344,0.569,1.168,0.103,0.823
Sel_swim,3,1,0.003,0.457,0.247,0.474,0.985,0.046,0.736
Sel_swim,3,2,0.0039,0.677,0.352,0.644,1.38,0.057,0.832
Sel_swim,3,3,0.0039,0.626,0.319,0.616,1.326,0.038,0.818
Sel_swim,5,1,0.0036,0.631,0.312,0.508,1.172,0.043,0.667
Sel_swim,5,2,0.0033,0.489,0.228,0.418,1,0.006,0.654
Sel_swim,5,3,0.0034,0.58,0.292,0.49,1.15,0.041,0.733
Sel_swim,4,1,0.0033,0.544,0.268,0.497,1.137,0.02,0.73
Sel_swim,4,2,0.0035,0.563,0.286,0.526,1.179,0.036,0.761
Sel_swim,4,3,0.0037,0.619,0.313,0.575,1.29,0.035,0.802
Sel_oax,1,1,0.0032,0.719,0.354,0.621,1.423,0.027,0.726
Sel_oax,1,2,0.0033,0.684,0.337,0.6,1.382,0.024,0.753
Sel_oax,1,3,0.0038,0.654,0.326,0.593,1.351,0.025,0.767
Sel_oax,2,1,0.0039,0.963,0.47,0.744,1763,0.028,0.734
Sel_oax,2,2,0.0038,1.171,0.681,1.026,1.756,0.191,0.895
Sel_oax,2,3,0.0035,1.004,0.569,0.863,1.802,0.163,0.885
Sel_oax,3,1,0.0038,0.794,0.385,0.682,1.561,0.023,0.75
Sel_oax,3,2,0.0035,0.919,0.447,0.795,1.787,0.027,0.792
Sel_oax,3,3,0.003,0.751,0.42,0.746,1.5,0.107,0.863
Sel_oax,4,1,0.0039,0.57,0.286,0.475,1.085,0.026,0.566
Sel_oax,4,2,0.0036,0.696,0.398,0.617,1.279,0.11,0.742
Sel_oax,4,3,0.0038,0.512,0.253,0.458,1.049,0.014,0.623
Sel_oax,5,1,0.0033,0.76,0.367,0.673,1.518,0.024,0.748
Sel_oax,5,2,0.0033,0.872,0.458,0.784,1.682,0.086,0.863
Sel_oax,5,3,0.004,0.977,0.484,0.861,1.899,0.043,0.868
