species,sample,PARi,Phot,Cond,Trmmol,
sel_art,1,750,2.967824472,0.061337435,0.55485188,
sel_art,1,500,3.15803602,0.063347249,0.536490381,
sel_art,1,300,2.911692255,0.065059649,0.503544035,
sel_art,1,250,3.191321083,0.067361822,0.50235389,
sel_art,1,150,2.796787479,0.070977347,0.492417999,
sel_art,1,100,2.604485382,0.071279205,0.486775945,
sel_art,1,50,1.908300812,0.073031252,0.484452348,
sel_art,1,35,1.627832751,0.069281275,0.499326896,
sel_art,1,25,1.15191559,0.069270496,0.494696254,
sel_art,1,15,0.707694123,0.068001675,0.486614157,
sel_art,1,10,0.523002784,0.072168517,0.47746113,
sel_art,1,5,0.174100339,0.071469782,0.46679921,
sel_art,1,0,-0.259326908,0.073240049,0.51244201,
sel_art,2,750,4.146123422,0.092939986,0.818851124,
sel_art,2,500,4.254765088,0.093934899,0.781839304,
sel_art,2,300,3.986740183,0.098711401,0.748097434,
sel_art,2,250,3.902652235,0.100005294,0.767756306,
sel_art,2,150,3.455292682,0.103015976,0.74204705,
sel_art,2,100,3.046262303,0.10160374,0.744378204,
sel_art,2,50,2.208405588,0.10289201,0.731559451,
sel_art,2,35,1.711920015,0.103429978,0.705277283,
sel_art,2,25,1.322103674,0.104021352,0.706224988,
sel_art,2,15,0.739032885,0.103362981,0.723412202,
sel_art,2,10,0.38890919,0.101055762,0.700164878,
sel_art,2,5,0.199912964,0.103697513,0.697971351,
sel_art,2,0,-0.226387859,0.105029799,0.722165456,
sel_art,3,750,2.915657586,0.09428275,0.883999899,
sel_art,3,500,2.940141698,0.092842518,0.828742014,
sel_art,3,300,2.842334405,0.094231083,0.800152472,
sel_art,3,250,2.850727621,0.096294408,0.798940352,
sel_art,3,150,2.596320673,0.097002297,0.77551006,
sel_art,3,100,2.399610447,0.099008853,0.754338524,
sel_art,3,50,1.909440675,0.098220634,0.749715331,
sel_art,3,35,1.523607217,0.098609918,0.72835165,
sel_art,3,25,1.16589926,0.099105214,0.742449384,
sel_art,3,15,0.689480777,0.098571994,0.7153616,
sel_art,3,10,0.451444984,0.097091509,0.727515165,
sel_art,3,5,0.175876297,0.097599832,0.732074202,
sel_art,3,0,-0.139065526,0.101010726,0.757311682,
sel_art,4,750,3.258696785,0.098777334,0.989110424,
sel_art,4,500,3.094611407,0.083563865,0.818129015,
sel_art,4,300,2.736407167,0.078685864,0.743443991,
sel_art,4,250,2.990692534,0.075305074,0.706989129,
sel_art,4,150,2.927261156,0.074390441,0.67544381,
sel_art,4,100,2.420870443,0.074569852,0.664249811,
sel_art,4,50,1.816740569,0.073400775,0.648265946,
sel_art,4,35,1.434507402,0.073048316,0.639935062,
sel_art,4,25,1.148651403,0.071511518,0.627463592,
sel_art,4,15,0.672428311,0.071148302,0.618574488,
sel_art,4,10,0.496495243,0.07193593,0.623771442,
sel_art,4,5,0.161196412,0.069701471,0.604326432,
sel_art,4,0,-0.214958102,0.072461991,0.63024001,
sel_art,5,750,3.197188923,0.079089983,0.794545666,
sel_art,5,500,3.455784543,0.077870469,0.766605547,
sel_art,5,300,3.22652222,0.081193029,0.706969147,
sel_art,5,250,3.154870319,0.08576725,0.720611385,
sel_art,5,150,2.993434272,0.082837943,0.677742058,
sel_art,5,100,2.62819189,0.081571221,0.666957552,
sel_art,5,50,2.303576198,0.081082362,0.620721708,
sel_art,5,35,1.613204966,0.078741879,0.652883866,
sel_art,5,25,1.193660066,0.086648156,0.619560505,
sel_art,5,15,0.815519366,0.074813891,0.60396619,
sel_art,5,10,0.528747779,0.077595146,0.54474941,
sel_art,5,5,0.272160712,0.078986088,0.541481066,
sel_art,5,0,-0.060637487,0.084557935,0.550877972,
sel_oax,1,750,2.61907016,0.080465893,0.556857109,
sel_oax,1,500,2.760467337,0.080758638,0.537839949,
sel_oax,1,300,2.67044026,0.081557785,0.513117053,
sel_oax,1,250,2.628553506,0.087090991,0.528574885,
sel_oax,1,150,2.489678937,0.087567712,0.514412389,
sel_oax,1,100,2.454043865,0.091229233,0.510588259,
sel_oax,1,50,1.978376207,0.089291504,0.494512822,
sel_oax,1,35,1.533900483,0.089767106,0.486951465,
sel_oax,1,25,1.320862295,0.091708774,0.492726369,
sel_oax,1,15,0.855365479,0.089974091,0.476060477,
sel_oax,1,10,0.620199521,0.090657984,0.472634498,
sel_oax,1,5,0.316372874,0.090399853,0.471640225,
sel_oax,1,0,-0.026633339,0.087690964,0.492869708,
sel_oax,2,750,1.99144929,0.049136106,0.509152658,
sel_oax,2,500,1.982093016,0.051153806,0.498995157,
sel_oax,2,300,1.831842005,0.053559239,0.481221765,
sel_oax,2,250,1.991553739,0.052501984,0.47965285,
sel_oax,2,150,1.859210192,0.052799743,0.445289269,
sel_oax,2,100,1.636506493,0.052218427,0.453978227,
sel_oax,2,50,1.598058546,0.05194117,0.414189718,
sel_oax,2,35,1.398990379,0.052999467,0.411885671,
sel_oax,2,25,1.118327328,0.053087405,0.412709453,
sel_oax,2,15,0.826246471,0.051513567,0.420355534,
sel_oax,2,10,0.708150706,0.052949331,0.40501983,
sel_oax,2,5,0.40335905,0.050425438,0.404019559,
sel_oax,2,0,0.000877348,0.05354919,0.420138471,
sel_oax,3,750,2.648365371,0.066288684,0.557366548,
sel_oax,3,500,2.592996141,0.066268983,0.536650153,
sel_oax,3,300,2.50735345,0.065955957,0.513646283,
sel_oax,3,250,2.563253882,0.066880104,0.510300983,
sel_oax,3,150,2.362257192,0.064725338,0.479277201,
sel_oax,3,100,2.279621856,0.064031691,0.486125639,
sel_oax,3,50,1.97937902,0.063494369,0.474070758,
sel_oax,3,35,1.592952051,0.064179806,0.454714126,
sel_oax,3,25,1.305041895,0.065904831,0.463521048,
sel_oax,3,15,0.88999186,0.065770841,0.463518048,
sel_oax,3,10,0.719531439,0.065958866,0.464854717,
sel_oax,3,5,0.377741167,0.064886599,0.45660828,
sel_oax,3,0,-0.184332445,0.066022006,0.492840119,
sel_oax,4,750,2.117187071,0.071924148,0.571646908,
sel_oax,4,500,2.263934618,0.068981555,0.526754916,
sel_oax,4,300,2.139302727,0.069885297,0.4948748,
sel_oax,4,250,2.163983318,0.071588665,0.497699567,
sel_oax,4,150,1.970557023,0.071140529,0.484016205,
sel_oax,4,100,1.904076292,0.070701966,0.469994989,
sel_oax,4,50,1.604894423,0.071052785,0.457558196,
sel_oax,4,35,1.493579159,0.06814112,0.462723526,
sel_oax,4,25,1.218354505,0.070124698,0.443633344,
sel_oax,4,15,0.871056058,0.071218065,0.442560471,
sel_oax,4,10,0.682340449,0.069821136,0.436456088,
sel_oax,4,5,0.418971851,0.070286797,0.44110799,
sel_oax,4,0,-0.073446622,0.069516433,0.452713093,
sel_oax,5,750,2.421005181,0.049743157,0.473498668,
sel_oax,5,500,2.418301324,0.048696543,0.427610682,
sel_oax,5,300,2.342605316,0.04853581,0.408497382,
sel_oax,5,250,2.249575214,0.050326744,0.399810331,
sel_oax,5,150,2.262729576,0.049246032,0.390174329,
sel_oax,5,100,2.142858061,0.050053254,0.372512586,
sel_oax,5,50,1.692977503,0.047581356,0.338028952,
sel_oax,5,35,1.488656643,0.048073604,0.327021811,
sel_oax,5,25,1.321986637,0.051401168,0.344482942,
sel_oax,5,15,0.831326877,0.055208999,0.363957384,
sel_oax,5,10,0.623506423,0.053493344,0.35052367,
sel_oax,5,5,0.386319089,0.053845511,0.364480273,
sel_oax,5,0,-0.144170575,0.057377518,0.367356531,
sel_umb,1,750,2.503279855,0.058013904,0.553209502,
sel_umb,1,500,2.497282606,0.059243568,0.507859098,
sel_umb,1,300,2.402094405,0.064525863,0.485093887,
sel_umb,1,250,2.471630721,0.067821154,0.483517952,
sel_umb,1,150,2.257284797,0.067840387,0.452375648,
sel_umb,1,100,2.232992911,0.069371592,0.447909789,
sel_umb,1,50,1.817368368,0.07060201,0.436323256,
sel_umb,1,35,1.39449515,0.071934159,0.439559424,
sel_umb,1,25,1.163284791,0.074941712,0.441765286,
sel_umb,1,15,0.68865188,0.078246555,0.454960774,
sel_umb,1,10,0.373236824,0.075042168,0.436224894,
sel_umb,1,5,0.175674156,0.07444539,0.430300661,
sel_umb,1,0,-0.118537376,0.076042191,0.456227001,
sel_umb,2,750,3.556340716,0.103830132,0.835242876,
sel_umb,2,500,3.335743084,0.100799479,0.785675157,
sel_umb,2,300,3.116633486,0.100087394,0.743084824,
sel_umb,2,250,3.052765602,0.100120467,0.729423066,
sel_umb,2,150,2.843993468,0.096164358,0.679630984,
sel_umb,2,100,2.716042845,0.096072946,0.663240026,
sel_umb,2,50,2.06084409,0.097941444,0.659780887,
sel_umb,2,35,1.666113081,0.097127037,0.645386646,
sel_umb,2,25,1.237534414,0.097064226,0.643622265,
sel_umb,2,15,0.701458597,0.09641996,0.634174797,
sel_umb,2,10,0.46113228,0.097439461,0.626096061,
sel_umb,2,5,0.139337475,0.098179346,0.629854478,
