"family","species","individual","light","photo","cond","par","leaf_area_mm2","leaf_mass_g","lma_gpercm2","stomatalarea_mm2","stomatadensity_mm2","sla","amass","chlorophyll_mgperl","percN","percC","cn_ratio","percP","mass_ug","nmass","pmass"
"Selaginella","Sel_anc",1,"Low",3.01317255,0.059243568,500,23.3,3.59,15.41,0.22,75.87,0.0648929266709929,0.195533585334199,10.21903333,2.2,41.82,19,0.195456138,3.179,7.898,0.70168753542
"Selaginella","Sel_anc",2,"Low",3.186825621,0.100799479,500,11.6,1.31,11.29,0.2,68.7,0.0885739592559787,0.282269762710363,11.13256,2.25,40.69,18.17142857,0.162748197,3.125,2.9475,0.21320013807
"Selaginella","Sel_anc",3,"Low",3.288982116,0.111747241,500,17.37,2.22,12.78,0.21,59.13,0.0782472613458529,0.257353843192488,15.34418,1.9,40.18,21.01724138,0.061200026,3.035,4.218,0.13586405772
"Selaginella","Sel_anc",4,"Low",3.636769368,0.107527771,500,15.31,2.08,13.59,0.23,65.22,0.0735835172921266,0.267606281677704,8.3979,2.65,40.4,15.19767442,0.187506586,3.236,5.512,0.39001369888
"Selaginella","Sel_anc",5,"Low",2.849972163,0.119104607,500,11.17,1.2,10.74,0.23,57.83,0.0931098696461825,0.265360536592179,14.43127333,2.77,39.21,14.2247191,0.171546038,3.229,3.324,0.2058552456
"Selaginella","Sel_art",1,"Low",3.15803602,0.063347249,500,14.88,1.79,12.03,0.44,34.32,0.0831255195344971,0.262513384871155,12.88048,2.75,37.81,13.77777778,0.241618041,3.28,4.9225,0.43249629339
"Selaginella","Sel_art",2,"Low",4.254765088,0.093934899,500,21.34,2.39,11.2,0.47,35.68,0.0892857142857143,0.37988974,8.31528,2.79,39.94,14.35227273,0.118770114,3.163,6.6681,0.28386057246
"Selaginella","Sel_art",3,"Low",2.940141698,0.092842518,500,21.42,2.95,13.77,0.45,32.16,0.0726216412490922,0.213517915613653,11.38445333,2.39,35.24,14.72151899,0.218464353,3.3,7.0505,0.64446984135
"Selaginella","Sel_art",4,"Low",3.094611407,0.083563865,500,16.06,1.92,11.95,0.44,24.05,0.0836820083682008,0.258963297656904,12.63055,2.41,37.91,15.75641026,0.141494027,3.241,4.6272,0.27166853184
"Selaginella","Sel_art",5,"Low",3.455784543,0.077870469,500,16.03,2.14,13.35,0.44,37.3,0.0749063670411985,0.258860265393258,9.7352,2.39,38.95,16.30136986,0.118449485,3.055,5.1146,0.2534818979
"Selaginella","Sel_ate",1,"Low",1.83819229,0.074831735,500,24.81,0.88,3.55,0.43,26.52,0.28169014084507,0.517800645070423,11.45455333,2.51,40.77,16.32467532,0.266292352,3.084,2.2088,0.23433726976
"Selaginella","Sel_ate",2,"Low",2.293948679,0.098884889,500,19.02,0.84,4.42,0.4,28.7,0.226244343891403,0.518992913800905,13.40392667,2.85,39.02,13.57142857,0.197610723,1.461,2.394,0.16599300732
"Selaginella","Sel_ate",3,"Low",2.295598314,0.076359114,500,14.83,0.46,3.1,0.37,25.87,0.32258064516129,0.74051558516129,11.60831333,3.23,34.85,10.71428571,0.244492552,0.645,1.4858,0.11246657392
"Selaginella","Sel_ate",4,"Low",0.888048782,0.055741513,500,19.1,1.03,5.39,0.41,19.35,0.185528756957328,0.16475858664193,11.50489333,2.55,41.34,16.10714286,NA,3.274,2.6265,NA
"Selaginella","Sel_ate",5,"Low",1.65993958,0.035611358,500,15.77,0.85,5.39,0.38,29.78,0.185528756957328,0.30796652690167,NA,NA,NA,NA,NA,NA,NA,NA
"Selaginella","Sel_eur",1,"High",7.556166229,0.166648405,500,22.21,1.72,7.74,0.46,44.13,0.129198966408269,0.976248866795866,11.29474,3.44,42.07,12.27358491,0.37857013,3.092,5.9168,0.6511406236
"Selaginella","Sel_eur",2,"High",5.215798469,0.095986917,500,17.19,1.35,7.85,0.46,36.52,0.127388535031847,0.664432925987261,7.38534,3.29,40.95,12.42156863,0.460333887,3.093,4.4415,0.62145074745
"Selaginella","Sel_eur",3,"High",6.257972122,0.127249679,500,13.41,1.01,7.53,0.42,53.04,0.132802124833997,0.831071994953519,8.335826667,3.66,41.33,11.26785714,0.30048439,3.053,3.6966,0.3034892339
"Selaginella","Sel_eur",4,"High",5.367576705,0.115720893,500,10.41,0.71,6.82,0.44,53.78,0.146627565982405,0.787034707478006,8.340346667,4.49,41.13,9.185714286,0.291374382,3.127,3.1879,0.20687581122
"Selaginella","Sel_eur",5,"High",4.76238968,0.100831513,500,13.08,0.72,5.51,0.37,40.85,0.181488203266788,0.864317546279492,6.945786667,2.83,39.08,13.84444444,0.44257151,3.189,2.0376,0.3186514872
"Selaginella","Sel_oax",1,"Low",2.760467337,0.080758638,500,20.27,1.62,7.99,0.44,71.74,0.125156445556946,0.345490279974969,11.60828667,2.51,39.41,15.75641026,0.20172177,3.119,4.0662,0.3267892674
"Selaginella","Sel_oax",2,"Low",1.982093016,0.051153806,500,24.71,2.14,8.66,0.48,54.35,0.115473441108545,0.228879101154734,18.71434667,2.21,38.52,17.48529412,0.097355157,3.088,4.7294,0.20834003598
"Selaginella","Sel_oax",3,"Low",2.592996141,0.066268983,500,20.29,2.36,11.63,0.43,65.22,0.0859845227858985,0.222957535769561,14.10664,2.04,36.86,18.14516129,0.199445328,3.053,4.8144,0.47069097408
"Selaginella","Sel_oax",4,"Low",2.263934618,0.068981555,500,16.3,1.38,8.47,0.39,52.17,0.118063754427391,0.267288620779221,10.37951333,2.75,37.22,13.56666667,0.240001533,3.281,3.795,0.33120211554
"Selaginella","Sel_oax",5,"Low",2.418301324,0.048696543,500,16.52,1.29,7.81,0.44,56.74,0.128040973111396,0.309641654801536,14.83727333,2.8,39.04,13.94186047,0.194430518,3.071,3.612,0.25081536822
"Selaginella","Sel_swim",1,"High",2.437603843,0.057461652,500,16.05,1.58,9.85,0.35,90.81,0.101522842639594,0.247472471370558,11.16828,1.71,36.82,21.66037736,0.109029979,3.118,2.7018,0.17226736682
"Selaginella","Sel_swim",2,"High",1.016254651,0.027193418,500,19.18,1.72,8.97,0.36,121.08,0.111482720178372,0.113294832887402,8.915386667,1.07,36.35,34.3030303,0.114446681,3.114,1.8404,0.19684829132
"Selaginella","Sel_swim",3,"High",2.037646532,0.044804392,500,18.04,1.97,10.92,0.4,121.62,0.0915750915750916,0.186597667765568,10.21766667,1.2,39.19,32.75675676,0.084453705,3.093,2.364,0.16637379885
"Selaginella","Sel_swim",4,"High",2.147097044,0.050166365,500,13.99,1.23,8.79,0.34,121.08,0.113765642775882,0.244265875312856,9.821793333,1.55,37.24,24.16326531,0.140598649,3.179,1.9065,0.17293633827
"Selaginella","Sel_swim",5,"High",2.665411414,0.073512822,500,18.33,1.99,10.85,0.33,134.32,0.0921658986175115,0.245660038156682,9.542933333,1.84,38.39,20.82758621,0.115063767,3.148,3.6616,0.22897689633
"Selaginella","Sel_umb",1,"Low",2.497282606,0.059243568,500,18.77,2.45,13.05,0.2,74.35,0.0766283524904215,0.191362651800766,5.663073333,1.24,42.14,33.58974359,0.220010895,3.109,3.038,0.53902669275
"Selaginella","Sel_umb",2,"Low",3.335743084,0.100799479,500,15.38,1.9,12.35,0.21,99.13,0.0809716599190283,0.270100654574899,7.565746667,1.4,41.31,29.32608696,0.20559666,3.266,2.66,0.390633654
"Selaginella","Sel_umb",3,"Low",4.073698928,0.111747241,500,10.48,1.46,13.93,0.2,85.65,0.0717875089734386,0.292440698348887,8.77546,1.74,40.72,23.57407407,0.187978059,3.127,2.5404,0.27444796614
"Selaginella","Sel_umb",4,"Low",3.661915278,0.107527771,500,11.3,1.15,10.18,0.2,73.04,0.0982318271119843,0.35971662848723,10.31342,1.69,42.35,25.11538462,0.178854591,3.083,1.9435,0.20568277965
"Selaginella","Sel_umb",5,"Low",3.643159789,0.119104607,500,12.17,1.29,10.6,0.19,80.87,0.0943396226415094,0.343694319716981,10.5068,2.09,40.2,19.14492754,0.1523253,3.285,2.6961,0.196499637
