"species","individual","habitat","chlA","chlB","chl_tot","chlA_mass","chlB_mass","chl_AB","chl_tot_mass"
"Sel_anc",1,"swamp_lowlight",6.52691666666667,3.6952,10.2190333333333,5.86611723072046,3.32071272093208,1.76766260807557,9.18405897334284
"Sel_anc",2,"swamp_lowlight",6.90102666666667,4.23496,11.13256,6.03528873873874,3.70202162162162,1.63080463529356,9.73431441441441
"Sel_anc",3,"swamp_lowlight",8.60371666666667,6.74548,15.34418,8.41030458333333,6.59930375,1.27430731357436,15.0047016666667
"Sel_anc",4,"swamp_lowlight",5.25197,3.1485,8.3979,4.41502022556391,2.64855078283945,1.66765718507433,7.06140965059708
"Sel_anc",5,"swamp_lowlight",8.07595666666667,6.36004,14.4312733333333,7.36409803987455,5.80240053763441,1.2692888047669,13.1621900761649
"Sel_art",1,"understory_midlight",8.45261333333333,4.43168,12.88048,7.57913134550085,4.00173001910017,2.00549157313414,11.5774278650255
"Sel_art",2,"understory_midlight",5.44166666666667,2.87608,8.31528,4.9469696969697,2.61461818181818,1.89284898779547,7.55934545454545
"Sel_art",3,"understory_midlight",7.75051333333333,3.63722,11.3844533333333,7.12858754743833,3.33275646347249,2.20776816712665,10.4583336100569
"Sel_art",4,"understory_midlight",9.198845,3.43515,12.63055,8.05575798141892,2.92337331081081,3.11830889156024,10.9761575168919
"Sel_art",5,"understory_midlight",7.13744,2.6004,9.7352,6.41997752778531,2.36675845486582,3.3911496736067,8.7843472594199
"Sel_ate",1,"understory_midlight",6.90202333333333,4.55612,11.4545533333333,5.76831799258936,3.78311489973845,1.52746473737758,9.54844508718396
"Sel_ate",2,"understory_midlight",7.96620333333333,5.44196,13.4039266666667,7.10596016746411,4.84004219497608,1.44589864385693,11.9422304425837
"Sel_ate",3,"understory_midlight",6.27780333333333,5.33438,11.6083133333333,5.55977947303921,4.75920073529412,1.2157266827459,10.3155350898693
"Sel_ate",4,"understory_midlight",6.51727333333333,4.99136,11.5048933333333,5.93633961952026,4.56270769230769,1.31047783958888,10.4956324234905
"Sel_ate",5,"understory_midlight",6.64084333333333,5.14982,11.78682,5.42996367521368,4.20781666666667,1.28809886374323,9.63463931623931
"Sel_eur",1,"understory_midlight",7.14563,4.15254,11.29474,5.91416414304993,3.48131643724696,1.66274896228345,9.39261913630229
"Sel_eur",2,"understory_midlight",4.56757666666667,2.82004,7.38534,3.97973572948916,2.44536559597523,1.62287206843335,6.42312362616099
"Sel_eur",3,"understory_midlight",4.91731333333333,3.42116,8.33582666666667,4.5071443766347,3.14281464690497,1.43782289673226,7.64752955536181
"Sel_eur",4,"understory_midlight",5.2749,3.06798,8.34034666666667,4.75693796092107,2.74379232268321,1.69923847285324,7.49845735678753
"Sel_eur",5,"understory_midlight",3.74268666666667,3.20542,6.94578666666667,3.2386746195043,2.79521177232532,1.15270973303685,6.03186791879437
"Sel_oax",1,"swamp_lowlight",7.76215666666667,3.84952,11.6082866666667,6.83871716507177,3.38890613038277,2.01587555141929,10.2246379385965
"Sel_oax",2,"swamp_lowlight",11.6846,7.03548,18.7143466666667,9.40281163100058,5.67974776171197,1.70826362672462,15.0779364449586
"Sel_oax",3,"swamp_lowlight",9.26657333333333,4.84424,14.10664,8.13792814536341,4.30396571428571,1.92595391893217,12.4382035588972
"Sel_oax",4,"swamp_lowlight",6.65545666666667,3.72718,10.3795133333333,5.32383981106613,2.99376923076923,1.83895266378331,8.31510436347278
"Sel_oax",5,"swamp_lowlight",9.82739666666667,5.01424,14.8372733333333,8.34761227272727,4.266465,1.97242601834106,12.6103672727273
"Sel_swim",1,"full_sun",7.18395333333333,3.98768,11.16828,6.15892476419543,3.4276149688738,1.79694296742496,9.58366033767214
"Sel_swim",2,"full_sun",5.43654,3.48162,8.91538666666667,4.62527158730159,2.96090666666667,1.56615702152139,7.58381936507936
"Sel_swim",3,"full_sun",6.59692666666667,3.6238,10.2176666666667,5.46800282051282,3.01842769230769,1.81258806116312,8.48388666666667
"Sel_swim",4,"full_sun",6.50042333333333,3.32426,9.82179333333333,5.57055355329355,2.84601121797122,1.95833982487849,8.41408956124956
"Sel_swim",5,"full_sun",6.42290666666667,3.1228,9.54293333333333,5.60023205585264,2.71944554367201,2.07620130942171,8.31726120023767
"Sel_umb",1,"full_sun",3.50987666666667,2.15494,5.66307333333333,3.08520092137592,1.8765445485258,1.69033273433475,4.96022204135954
"Sel_umb",2,"full_sun",4.32541333333333,3.24278,7.56574666666667,3.76799142857143,2.8528362406015,1.39669137621629,6.61868210526316
"Sel_umb",3,"full_sun",5.45369666666667,3.32446,8.77546,4.72455212418301,2.89024509803922,1.70062686928229,7.61245588235294
"Sel_umb",4,"full_sun",6.24232333333333,4.07432,10.31342,5.88514888888889,3.81711333333333,1.59027341252153,9.69923555555556
"Sel_umb",5,"full_sun",6.41226666666667,4.0978,10.5068,5.95443835227273,3.81192784090909,1.634608616291,9.76332935606061
